Re_x	C_f
2176.84682805	0.01279256
4371.89644927	0.008623948
6603.50403612	0.006931788
8890.32951962	0.006113439
11251.498676	0.005590271
13706.7511523	0.005181379
16276.6189677	0.004835959
18982.5941311	0.004535633
21847.2919041	0.004270136
24894.7033156	0.004032227
28150.2648208	0.003816604
31641.230542	0.003619337
35396.7702267	0.003437466
39448.2957746	0.003268714
43829.7006908	0.003111301
48577.599539	0.002963818
53731.7197738	0.002825137
59335.1411939	0.002694351
65434.709543	0.002570718
72081.4718793	0.002453632
79330.9595653	0.002342577
87243.8195537	0.002237121
95886.2279881	0.002136868
105330.412646	0.002041486
115655.393068	0.001950653
126947.48123	0.001864118
139301.108747	0.001781659
152819.588771	0.001703153
167615.943188	0.001628499
183813.903973	0.001557787
201548.914534	0.001490958
220969.326984	0.001428369
242237.338178	0.001369789
265531.123031	0.00131586
291045.291649	0.001265932
318993.17502	0.00122094
349608.348809	0.001179713
383147.027889	0.001143467
419889.59013	0.001110558
460143.406305	0.00108238
504244.799249	0.00105676
552562.744498	0.001034548
605501.264825	0.001010072
