iteration	\log_{10}(R_{\rho})
0	-2.3307572258
1	-2.7973918211
2	-2.8766199528
3	-2.9499561592
4	-3.0050714642
5	-3.0571433166
6	-3.084212038
7	-3.0650792495
8	-3.0616221546
9	-3.1116716917
10	-3.1932198063
11	-3.252219054
12	-3.272795179
13	-3.290785898
14	-3.337801575
15	-3.4176569626
16	-3.4660948802
17	-3.4056675308
18	-3.3128856816
19	-3.2471743026
20	-3.2073807749
21	-3.1808850519
22	-3.1618648674
23	-3.1530372718
24	-3.1597377488
25	-3.184971205
26	-3.2282920819
27	-3.2871298438
28	-3.359310577
29	-3.4443267677
30	-3.5369138295
31	-3.6051160441
32	-3.5931492983
33	-3.5148808128
34	-3.4298684604
35	-3.363340231
36	-3.3178790212
37	-3.2908491336
38	-3.2798914697
39	-3.2840588273
40	-3.3035530822
41	-3.3391143585
42	-3.3915308353
43	-3.4610450634
44	-3.5450726778
45	-3.6301092735
46	-3.6778436964
47	-3.650143895
48	-3.5717585479
49	-3.4878580773
50	-3.4178818248
51	-3.3656349162
52	-3.3304156516
53	-3.3108408546
54	-3.3058856058
55	-3.3151143374
56	-3.3386786905
57	-3.3772394995
58	-3.4317763247
59	-3.5029217253
60	-3.5884792344
61	-3.6755755909
62	-3.7283221215
63	-3.7107338101
64	-3.6436019571
65	-3.5690525794
66	-3.5067168362
67	-3.4611692997
68	-3.4324011485
69	-3.419624426
70	-3.4223349511
71	-3.4405864296
72	-3.4750633779
73	-3.5270201221
74	-3.5977564335
75	-3.6860789289
76	-3.7786325006
77	-3.8310931839
78	-3.7980788128
79	-3.7121995979
80	-3.6240941774
81	-3.5520744961
82	-3.4986008232
83	-3.4624129017
84	-3.441975842
85	-3.4362298489
86	-3.4447042527
87	-3.4675142941
88	-3.5053438371
89	-3.5593628208
90	-3.6307681307
91	-3.7187464098
92	-3.8130642384
93	-3.8781951574
94	-3.8678108663
95	-3.7976652256
96	-3.7170392717
97	-3.6492243787
98	-3.5991500496
99	-3.5664679833
100	-3.5500377132
101	-3.5490605561
102	-3.5633147508
103	-3.5931710856
104	-3.6394906496
105	-3.7031333837
106	-3.7829521731
107	-3.868968592
108	-3.9283268517
109	-3.9175944496
110	-3.8480873663
111	-3.7656644025
112	-3.6941576063
113	-3.6392507651
114	-3.6008681639
115	-3.5778484703
116	-3.5692013313
117	-3.5743886785
118	-3.5933626609
119	-3.6265374162
120	-3.6746719006
121	-3.7384178481
122	-3.8166850192
123	-3.9014705802
124	-3.9673183258
125	-3.9760865753
126	-3.926315801
127	-3.8557760303
128	-3.7911582101
129	-3.7411773014
130	-3.7072239869
131	-3.6888046794
132	-3.6852882543
133	-3.6963704097
134	-3.7221376234
135	-3.76290678
136	-3.8186177006
137	-3.8869252825
138	-3.9580786093
139	-4.0071974692
140	-4.0041842015
141	-3.9524423857
142	-3.8834636942
143	-3.8193872228
144	-3.7681485538
145	-3.7313526172
146	-3.708734018
147	-3.6997471991
148	-3.7040616239
149	-3.7217024953
150	-3.7530674267
151	-3.7988289335
152	-3.8595206469
153	-3.9340888786
154	-4.0154868439
155	-4.0816743683
156	-4.0975397716
157	-4.0560241563
158	-3.9896180743
159	-3.9259003709
160	-3.8752617532
161	-3.8399204232
162	-3.819698468
163	-3.8140450368
164	-3.8226214308
165	-3.8454159218
166	-3.8826061046
167	-3.9340515892
168	-3.9977252542
169	-4.0656573414
170	-4.1173699047
171	-4.1246996396
172	-4.0834483471
173	-4.01954404
174	-3.9563727009
175	-3.9039539308
176	-3.8649808684
177	-3.8396091241
178	-3.8274002332
179	-3.8279737313
180	-3.8412014378
181	-3.8672360582
182	-3.9064226721
183	-3.9589745414
184	-4.0239902484
185	-4.0967745234
186	-4.1633264053
187	-4.1978996941
188	-4.1832048384
189	-4.1342207278
190	-4.0772855192
191	-4.0275522337
192	-3.9903253629
193	-3.9667398992
194	-3.956634812
195	-3.959588572
196	-3.9751708214
197	-4.002817141
198	-4.0413204735
199	-4.0876688428
200	-4.134959618
201	-4.1706161683
202	-4.1802086283
203	-4.1594872486
204	-4.1190313755
205	-4.0733313564
206	-4.0320056853
207	-3.9995604371
208	-3.9776743642
209	-3.9668108551
210	-3.9670009184
211	-3.9781512264
212	-4.0000978156
213	-4.0324488568
214	-4.0741428692
215	-4.1225197524
216	-4.1717652318
217	-4.2116942328
218	-4.2304310333
219	-4.2230431159
220	-4.1965058714
221	-4.163020474
222	-4.1320856121
223	-4.1088990804
224	-4.095811485
225	-4.0937528266
226	-4.1029995787
227	-4.1234005728
228	-4.1541793066
229	-4.1931988105
230	-4.2355041525
231	-4.2715989844
232	-4.2886032587
233	-4.2782960741
234	-4.2451510971
235	-4.2016358446
236	-4.1586347746
237	-4.1222999151
238	-4.0953900144
239	-4.0789492587
240	-4.0733269071
241	-4.07865899
242	-4.0950458726
243	-4.1225449358
244	-4.1609655443
245	-4.2092707734
246	-4.2642285159
247	-4.3180277144
248	-4.3566467215
249	-4.3655613153
250	-4.3433782378
251	-4.3035030868
252	-4.2608586355
253	-4.2243419119
254	-4.1978665317
255	-4.1828652617
256	-4.179796318
257	-4.1888243756
258	-4.2100374786
259	-4.24334678
260	-4.2879486957
261	-4.3409565341
262	-4.3945868434
263	-4.4333124784
264	-4.4391042839
265	-4.4088764933
266	-4.3582653174
267	-4.3045253086
268	-4.2573040694
269	-4.2203638665
270	-4.1947551428
271	-4.1805390497
272	-4.177530088
273	-4.1855639341
274	-4.2045568985
275	-4.2344330998
276	-4.2748657477
277	-4.3246526978
278	-4.3803881182
279	-4.4342445384
280	-4.4728032888
281	-4.4826647041
282	-4.4628672419
283	-4.4259398067
284	-4.3857893429
285	-4.3508849956
286	-4.3249668721
287	-4.3092869539
288	-4.3039991115
289	-4.3087605879
290	-4.3228799438
291	-4.3451612666
292	-4.3735059013
293	-4.4042956451
294	-4.4319487007
295	-4.4496375315
296	-4.4521242193
297	-4.4391839011
298	-4.4156637103
299	-4.3882019447
300	-4.3622491443
301	-4.3412495422
302	-4.3270407691
303	-4.3204529744
304	-4.3217315504
305	-4.3307465317
306	-4.3470336686
307	-4.3697116814
308	-4.3972763716
309	-4.4273330706
310	-4.4564342755
311	-4.4804552827
312	-4.49570763
313	-4.5006273395
314	-4.4966109109
315	-4.4872085915
316	-4.4764058419
317	-4.4674086126
318	-4.4622454332
319	-4.4618357102
320	-4.4661626701
321	-4.4743672166
322	-4.4847845928
323	-4.4950321633
324	-4.5023419317
325	-4.5042724438
326	-4.499598074
327	-4.4888354926
328	-4.4740597428
329	-4.4579921656
330	-4.4432357308
331	-4.4318485034
332	-4.4252617843
333	-4.4243667039
334	-4.4296197845
335	-4.4411058081
336	-4.4585179751
337	-4.4810526863
338	-4.5072136476
339	-4.5346001232
340	-4.559870107
341	-4.579231023
342	-4.589683045
343	-4.5904739945
344	-4.5834704331
345	-4.5722201642
346	-4.5604537249
347	-4.5511450056
348	-4.5462544667
349	-4.5468299351
350	-4.5531431576
351	-4.5647418775
352	-4.5803734334
353	-4.597831258
354	-4.6139152003
355	-4.6248047048
356	-4.6271874422
357	-4.6197662612
358	-4.6039136974
359	-4.5829538595
360	-4.5606451663
361	-4.5401458535
362	-4.5236616017
363	-4.5125663326
364	-4.5076313549
365	-4.5092225709
366	-4.5174148048
367	-4.5320244811
368	-4.5525571258
369	-4.5780873037
370	-4.6070523953
371	-4.6370477523
372	-4.6647999356
373	-4.6866458726
374	-4.6996927197
375	-4.7030985714
376	-4.6985081896
377	-4.6891641064
378	-4.6784952846
379	-4.6692050086
380	-4.66298183
381	-4.6605767515
382	-4.6619542216
383	-4.6664135202
384	-4.6726771274
385	-4.6790136164
386	-4.6835183363
387	-4.684511426
388	-4.6810548908
389	-4.6732482037
390	-4.6621933878
391	-4.6495866927
392	-4.6372316315
393	-4.6267008919
394	-4.6191802634
395	-4.6154502288
396	-4.6159217374
397	-4.6206850057
398	-4.6295351109
399	-4.6419726241
400	-4.6571950828
401	-4.6740977653
402	-4.6913256657
403	-4.7074244992
404	-4.7210961707
405	-4.7315232519
406	-4.7385713403
407	-4.7428108014
408	-4.7452957239
409	-4.7472196882
410	-4.7496293999
411	-4.7531855626
412	-4.7580512721
413	-4.7638573763
414	-4.7697169892
415	-4.7743523125
416	-4.7763528044
417	-4.7745656112
418	-4.768469881
419	-4.7583869625
420	-4.7454089331
421	-4.7310779959
422	-4.7170082965
423	-4.7046179084
424	-4.6950072797
425	-4.6889409784
426	-4.6868748812
427	-4.6889915379
428	-4.6952265323
429	-4.7052655228
430	-4.718522827
431	-4.7341143348
432	-4.7508473673
433	-4.7672728569
434	-4.7818473416
435	-4.7932195144
436	-4.800570377
437	-4.8038465296
438	-4.803754652
439	-4.8014951788
440	-4.7984377268
441	-4.7957943222
442	-4.7944579934
443	-4.7949203943
444	-4.7972649445
445	-4.8011891789
446	-4.8060499399
447	-4.8109470479
448	-4.8148526851
449	-4.8168098998
450	-4.8161400616
451	-4.8126228931
452	-4.8065715154
453	-4.7987213144
454	-4.7900540582
455	-4.7816003036
456	-4.7742821848
457	-4.7688313494
458	-4.7657612998
459	-4.7653726316
460	-4.7677715819
461	-4.7728888911
462	-4.780492963
463	-4.7902017117
464	-4.8014930536
465	-4.8137219373
466	-4.8261535555
467	-4.8380167036
468	-4.8485815362
469	-4.8572429961
470	-4.8635834176
471	-4.867430057
472	-4.8688394093
473	-4.8680642956
474	-4.8654800625
475	-4.8615159229
476	-4.8566021894
477	-4.851141047
478	-4.8454941121
479	-4.8399837978
480	-4.8348874767
481	-4.8304579192
482	-4.8269102852
483	-4.8244185305
484	-4.8231089876
485	-4.8230466235
486	-4.8242271847
487	-4.826571068
488	-4.8299214807
489	-4.8340507992
490	-4.8386761495
491	-4.8434878729
492	-4.8481879971
493	-4.8525342544
494	-4.8563808264
495	-4.8597042938
496	-4.862608963
497	-4.8653052319
498	-4.8680689327
499	-4.871186885
500	-4.8748989882
501	-4.8793419762
502	-4.8845092891
503	-4.8902153301
504	-4.8960834001
505	-4.9015640908
506	-4.9059899149
507	-4.9086734561
508	-4.9090526403
509	-4.9068122898
510	-4.9019931247
511	-4.8949946348
512	-4.8865033453
513	-4.8773647069
514	-4.8684460763
515	-4.8605359838
516	-4.8542826812
517	-4.8501666741
518	-4.848496783
519	-4.8494138512
520	-4.8528963085
521	-4.8587624541
522	-4.8666705261
523	-4.8761207084
524	-4.8864685759
525	-4.8969598258
526	-4.9067987487
527	-4.9152473202
528	-4.9217439592
529	-4.9260053827
530	-4.9280727007
531	-4.9282900982
532	-4.9272085481
533	-4.9254621795
534	-4.9236519947
535	-4.9222571741
536	-4.9215842308
537	-4.9217475557
538	-4.9226707785
539	-4.9241122425
540	-4.9257008553
541	-4.9269945159
542	-4.9275521607
543	-4.9270133017
544	-4.9251703146
545	-4.922012779
546	-4.917734091
547	-4.9127008824
548	-4.9073919413
549	-4.9023260419
550	-4.8980026889
551	-4.8948552978
552	-4.8932229787
553	-4.8933361644
554	-4.8953109964
555	-4.8991475224
556	-4.9047292696
557	-4.911824441
558	-4.9200892046
559	-4.929076579
560	-4.9382573946
561	-4.9470572416
562	-4.9549088857
563	-4.9613195333
564	-4.9659389793
565	-4.9686079143
566	-4.9693753913
567	-4.96847889
568	-4.9662895163
569	-4.9632427326
570	-4.9597729549
571	-4.9562630824
572	-4.953012457
573	-4.9502222862
574	-4.9479964343
575	-4.9463509619
576	-4.945229569
577	-4.944525064
578	-4.9441011539
579	-4.9438155962
580	-4.9435445895
581	-4.9432004016
582	-4.9427464788
583	-4.9422031107
584	-4.9416468218
585	-4.9411996182
586	-4.9410138313
587	-4.9412537226
588	-4.9420760755
589	-4.9436124409
590	-4.9459533678
591	-4.9491359123
592	-4.9531342545
593	-4.9578536284
594	-4.9631292738
595	-4.9687296639
596	-4.9743685228
597	-4.9797247083
598	-4.9844700433
599	-4.9883052301
600	-4.9909985298
601	-4.9924164138
602	-4.9925434396
603	-4.9914832995
604	-4.989441408
605	-4.9866953818
606	-4.9835561322
607	-4.980332026
608	-4.9772995651
609	-4.9746826332
610	-4.9726407296
611	-4.9712659251
612	-4.9705843714
613	-4.9705633578
614	-4.9711217829
615	-4.9721444362
616	-4.973495805
617	-4.975036913
618	-4.9766406212
619	-4.978205583
620	-4.9796673797
621	-4.9810014827
622	-4.982222919
623	-4.9833796668
624	-4.9845422407
625	-4.9857896584
626	-4.987195716
627	-4.9888166299
628	-4.9906811335
629	-4.9927840674
630	-4.9950838045
631	-4.9975047099
632	-4.9999430431
633	-5.0022771089
634	-5.0043798505
635	-5.0061329457
636	-5.0074421271
637	-5.0082483043
638	-5.0085351405
639	-5.0083320599
640	-5.00771008
641	-5.0067736315
642	-5.0056493215
643	-5.0044723496
644	-5.0033734394
645	-5.0024689939
646	-5.0018518934
647	-5.001586624
648	-5.0017066918
649	-5.0022148985
650	-5.0030858966
651	-5.0042696893
652	-5.0056977868
653	-5.0072893212
654	-5.0089582684
655	-5.0106212056
656	-5.012203775
657	-5.0136461885
658	-5.014907592
659	-5.0159678858
660	-5.0168280353
661	-5.0175079671
662	-5.0180428524
663	-5.0184781191
664	-5.018864004
665	-5.0192500447
666	-5.0196802717
667	-5.0201893146
668	-5.0207996229
669	-5.0215199409
670	-5.0223452014
671	-5.0232577764
672	-5.0242300664
673	-5.0252274178
674	-5.0262123058
675	-5.0271485049
676	-5.0280054771
677	-5.0287618588
678	-5.0294080418
679	-5.0299474802
680	-5.030396655
681	-5.0307831443
682	-5.0311424919
683	-5.0315142832
684	-5.0319374133
685	-5.0324455008
686	-5.0330630618
687	-5.0338020195
688	-5.03465985
689	-5.0356191154
690	-5.0366485574
691	-5.0377055628
692	-5.0387403855
693	-5.0397011859
694	-5.0405396545
695	-5.041216699
696	-5.0417073661
697	-5.0420043926
698	-5.0421197789
699	-5.0420844703
700	-5.0419456755
701	-5.0417623635
702	-5.041599677
703	-5.0415228342
704	-5.0415911074
705	-5.0418524484
706	-5.0423393603
707	-5.0430660641
708	-5.0440277157
709	-5.0452007312
710	-5.0465450714
711	-5.0480077497
712	-5.04952791
713	-5.0510423124
714	-5.0524911746
715	-5.0538236766
716	-5.0550024685
717	-5.0560066439
718	-5.0568326581
719	-5.0574933878
720	-5.0580151643
721	-5.0584334735
722	-5.0587878382
723	-5.0591165631
724	-5.0594520533
725	-5.0598171003
726	-5.0602225655
727	-5.0606668076
728	-5.0611364428
729	-5.0616089339
730	-5.0620561763
731	-5.0624489377
732	-5.062761604
733	-5.0629764743
734	-5.0630873079
735	-5.0631013955
736	-5.0630400536
737	-5.0629373891
738	-5.0628374495
739	-5.0627901918
740	-5.0628466803
741	-5.0630541662
742	-5.0634514272
743	-5.0640648713
744	-5.0649057125
745	-5.0659684455
746	-5.0672307832
747	-5.0686550663
748	-5.0701910148
749	-5.0717796614
750	-5.0733582802
751	-5.0748657365
752	-5.0762477941
753	-5.0774618196
754	-5.0784802447
755	-5.0792923743
756	-5.0799043999
757	-5.08033748
758	-5.0806243536
759	-5.0808048518
760	-5.0809209982
761	-5.0810122698
762	-5.0811115622
763	-5.0812422833
764	-5.0814167973
765	-5.0816363143
766	-5.0818922065
767	-5.0821684861
768	-5.0824451551
769	-5.0827020467
770	-5.0829226503
771	-5.0830974056
772	-5.0832260379
773	-5.0833186863
774	-5.0833957247
775	-5.0834860335
776	-5.083624313
777	-5.0838474882
778	-5.0841907151
779	-5.0846834948
780	-5.0853462416
781	-5.0861876598
782	-5.0872031823
783	-5.0883746392
784	-5.0896711746
785	-5.0910513956
786	-5.0924666417
787	-5.0938649736
788	-5.0951956512
789	-5.0964135716
790	-5.097483126
791	-5.0983812128
792	-5.0990987527
793	-5.0996407885
794	-5.1000249685
795	-5.1002788373
796	-5.1004361745
797	-5.100533019
798	-5.1006037439
799	-5.1006777041
800	-5.1007767653
801	-5.1009139427
802	-5.1010932292
803	-5.101310519
804	-5.1015555443
805	-5.1018144122
806	-5.1020725844
807	-5.1023177862
808	-5.1025425127
809	-5.1027458852
810	-5.1029345391
811	-5.1031224349
812	-5.1033297104
813	-5.1035806427
814	-5.1039009781
815	-5.1043150355
816	-5.1048428477
817	-5.1054976532
818	-5.1062840243
819	-5.1071968043
820	-5.1082209936
821	-5.1093325557
822	-5.110500114
823	-5.1116874521
824	-5.1128564062
825	-5.1139700706
826	-5.1149959481
827	-5.1159085381
828	-5.1166912796
829	-5.1173375016
830	-5.117850438
831	-5.1182421097
832	-5.1185314496
833	-5.1187418571
834	-5.1188985249
835	-5.1190258261
836	-5.1191450829
837	-5.1192729254
838	-5.1194203805
839	-5.119592725
840	-5.11979006
841	-5.1200085037
842	-5.1202417997
843	-5.1204831087
844	-5.1207267685
845	-5.1209698043
846	-5.1212130153
847	-5.1214614237
848	-5.1217241543
849	-5.1220137002
850	-5.1223446518
851	-5.1227321082
852	-5.1231899054
853	-5.1237289138
854	-5.1243555649
855	-5.1250707606
856	-5.125869301
857	-5.1267398567
858	-5.1276656113
859	-5.1286253136
860	-5.1295948233
861	-5.1305489455
862	-5.1314633749
863	-5.1323165527
864	-5.1330912364
865	-5.1337757005
866	-5.1343644002
867	-5.1348579446
868	-5.1352626027
869	-5.1355892746
870	-5.1358521531
871	-5.1360671963
872	-5.1362506023
873	-5.1364174386
874	-5.136580574
875	-5.1367499901
876	-5.1369325086
877	-5.1371318847
878	-5.1373493686
879	-5.1375843525
880	-5.1378352676
881	-5.1381005246
882	-5.1383792915
883	-5.1386721281
884	-5.1389813415
885	-5.1393110243
886	-5.1396667908
887	-5.1400552511
888	-5.1404832628
889	-5.1409570838
890	-5.141481503
891	-5.142059059
892	-5.1426894296
893	-5.1433690695
894	-5.1440911374
895	-5.1448457123
896	-5.1456203426
897	-5.1464008103
898	-5.1471720747
899	-5.1479193269
900	-5.1486290134
901	-5.149289767
902	-5.1498932064
903	-5.1504344062
904	-5.1509120685
905	-5.1513284315
906	-5.1516888633
907	-5.1520012326
908	-5.1522751196
