iteration	\log_{10}(R_{\rho})
0	-2.3307572258
1	-2.7970941354
2	-2.892297209
3	-2.9912658576
4	-3.057322238
5	-3.0968802653
6	-3.0985072409
7	-3.0621940205
8	-3.048723166
9	-3.0877928093
10	-3.1574950922
11	-3.2148404692
12	-3.2503428128
13	-3.292876454
14	-3.3730393807
15	-3.5068012544
16	-3.6110274595
17	-3.5161024172
18	-3.3856679408
19	-3.3043793867
20	-3.2573993168
21	-3.2254990376
22	-3.2017904287
23	-3.190018547
24	-3.1959964487
25	-3.2222615214
26	-3.2675625203
27	-3.3289514242
28	-3.4054038408
29	-3.5002994023
30	-3.6147193251
31	-3.7105474934
32	-3.6872308107
33	-3.5727185367
34	-3.4631203896
35	-3.3820694632
36	-3.3267056752
37	-3.2918037517
38	-3.274032006
39	-3.2720547447
40	-3.2858210062
41	-3.3159207054
42	-3.3633292942
43	-3.4294441527
44	-3.5156124711
45	-3.6189764529
46	-3.7148819609
47	-3.736696217
48	-3.6638890213
49	-3.564495345
50	-3.4793119437
51	-3.4158473435
52	-3.3727246531
53	-3.347604084
54	-3.3388265188
55	-3.3456262724
56	-3.3680698095
57	-3.40698352
58	-3.4638705227
59	-3.5404696594
60	-3.6363390135
61	-3.7384719737
62	-3.797888899
63	-3.7622531576
64	-3.6714372767
65	-3.5813857376
66	-3.5097743245
67	-3.4581068492
68	-3.4246935648
69	-3.40789816
70	-3.4067516329
71	-3.4210226413
72	-3.4512195391
73	-3.4985960161
74	-3.5650104707
75	-3.651845365
76	-3.7545947982
77	-3.843929843
78	-3.8544793983
79	-3.7791088633
80	-3.683207279
81	-3.6014383705
82	-3.5400763569
83	-3.4980140922
84	-3.4733198374
85	-3.4645990157
86	-3.4711903801
87	-3.4931659984
88	-3.5313309048
89	-3.5871939316
90	-3.6625835842
91	-3.7574311464
92	-3.8601273525
93	-3.9242589751
94	-3.8942843177
95	-3.8049355887
96	-3.714119739
97	-3.6412515478
98	-3.5882546917
99	-3.5534630095
100	-3.5351766678
101	-3.5323359082
102	-3.5445894324
103	-3.5722715511
104	-3.6163635915
105	-3.6782962038
106	-3.7589158061
107	-3.8540232717
108	-3.9400974732
109	-3.9632901259
110	-3.9053641725
111	-3.8178963445
112	-3.7385188766
113	-3.6770858852
114	-3.6339392507
115	-3.6076349242
116	-3.5969002546
117	-3.6010272582
118	-3.6199132979
119	-3.6540246985
120	-3.7042625362
121	-3.7714082096
122	-3.8539622482
123	-3.9409826867
124	-3.9987332781
125	-3.9866110635
126	-3.9192068975
127	-3.8407770087
128	-3.7735936285
129	-3.7230099607
130	-3.6890397724
131	-3.6707044198
132	-3.6672228312
133	-3.6782910134
134	-3.704118308
135	-3.7453558069
136	-3.8027724098
137	-3.8760203833
138	-3.9594422712
139	-4.0317105094
140	-4.0524938555
141	-4.0079327058
142	-3.9340364304
143	-3.8629279278
144	-3.8060307942
145	-3.7653567798
146	-3.7403889691
147	-3.7303245907
148	-3.7346892046
149	-3.7534840876
150	-3.787190906
151	-3.8366375643
152	-3.9024113504
153	-3.9826667572
154	-4.0662522189
155	-4.120944018
156	-4.1094399706
157	-4.0450448373
158	-3.9689872816
159	-3.9030640278
160	-3.852979594
161	-3.8190292352
162	-3.8003810007
163	-3.7963154915
164	-3.8065390643
165	-3.8312398079
166	-3.8710356045
167	-3.9267015995
168	-3.9981255384
169	-4.0807259211
170	-4.1561141005
171	-4.1858538814
172	-4.1494628673
173	-4.0781335794
174	-4.0062921514
175	-3.9475403115
176	-3.9046808255
177	-3.8773739308
178	-3.8647798238
179	-3.8662962474
180	-3.8817235579
181	-3.9112504958
182	-3.9552919578
183	-4.0139392117
184	-4.0852311599
185	-4.1604151671
186	-4.2161879616
187	-4.2217416293
188	-4.1766885985
189	-4.111640531
190	-4.0501455625
191	-4.0011046512
192	-3.96649263
193	-3.9461492651
194	-3.9395181535
195	-3.9461683738
196	-3.9658833672
197	-3.998531356
198	-4.0436388267
199	-4.0992995696
200	-4.1597158916
201	-4.211472637
202	-4.2346019304
203	-4.2186703675
204	-4.1757060991
205	-4.12549447
206	-4.0806601023
207	-4.0464831129
208	-4.0245986714
209	-4.0152980751
210	-4.0184939229
211	-4.0340475752
212	-4.0617511795
213	-4.1009967425
214	-4.1498848327
215	-4.2033464192
216	-4.2504805483
