Re_x	Nu_x
2175.32020819	14.0414285714
4368.83044397	18.5563596595
6598.87300732	22.7204774144
8884.09474307	26.4683730828
11243.6080146	29.9170970758
13697.1386255	33.1614492053
16265.204196	36.267270016
18969.2816625	39.2824085872
21831.9704267	42.2438263001
24877.2446925	45.1814238297
28130.5230767	48.1199394345
31619.0405882	51.0805289407
35371.9465177	54.0814136069
39420.630736	57.1387260744
43798.9629787	60.266973847
48543.5321316	63.4793523397
53694.0377885	66.7882038186
59293.5295364	70.2051199285
65388.8202662	73.7412883636
72030.9212367	77.4076098166
79275.3248664	81.2148208301
87182.6355764	85.1736449316
95818.9831009	89.2948275163
105256.544565	93.5892844386
115574.284091	98.06791392
126858.453126	102.742148222
139203.417061	107.622721387
152712.416592	112.722320827
167498.394345	118.049522554
183684.995521	123.622287835
201407.568542	129.437607095
220814.361481	135.537645572
242067.457448	141.874009155
265344.906399	148.573976977
290841.181964	155.453935135
318769.46552	162.872332413
349363.168928	170.321611959
382878.327376	178.658184728
419595.122106	186.725296555
459820.708332	196.248490194
503891.173026	204.916105516
552175.232963	215.722265677
605076.627574	224.866273533
